Titre;Lien
Scraping avec Python : Formation Complète 2024;https://www.youtube.com/watch?v=sOAZpHDEdkg&pp=ygUIc2NyYXBpbmc%3D
WEB SCRAPING PYTHON [TUTO PROGRAMMATION COMPLET] (DÉBUTANT À AVANCÉ);https://www.youtube.com/watch?v=HCV6nEACQo4&pp=ygUIc2NyYXBpbmc%3D
Web Scraping with Python Beautiful Soup - تعلم استخراج البيانات من اي موقع على الانترنت;https://www.youtube.com/watch?v=taL3r_JpwBg&pp=ygUIc2NyYXBpbmc%3D
Scraping Data from a Real Website | Web Scraping in Python;https://www.youtube.com/watch?v=8dTpNajxaH0&pp=ygUIc2NyYXBpbmc%3D
Scrapy Course – Python Web Scraping for Beginners;https://www.youtube.com/watch?v=mBoX_JCKZTE&pp=ygUIc2NyYXBpbmc%3D
[Tuto]: L'Extension Chrome Numéro 1 en Web Scraping (Web Scraper);https://www.youtube.com/watch?v=b5INLUsgCy8&pp=ygUIc2NyYXBpbmc%3D
ScrapeNinja : Scraper tous les sites web en 2 minutes (sans coder);https://www.youtube.com/watch?v=5rXOATtrll4&pp=ygUIc2NyYXBpbmc%3D
Scrape ANY Website With AI For Free - Best AI Web Scraper;https://www.youtube.com/watch?v=V0kRh-3o__Q&t=299s&pp=ygUIc2NyYXBpbmc%3D
#100Devs - Let's Scrape HTML Data with Python and BeautifulSoup!;https://www.youtube.com/watch?v=ETtasykVv2A&pp=ygUIc2NyYXBpbmc%3D
Qu'est-ce que le Web Scraping ?;https://www.youtube.com/watch?v=G7eVoTwkphI&pp=ygUIc2NyYXBpbmc%3D
Machine Learning for Everybody – Full Course;https://www.youtube.com/watch?v=i_LwzRVP7bg&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
COMMENT FONCTIONNE LE MACHINE LEARNING ?;https://www.youtube.com/watch?v=sqs8DxGhwM8&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
DDPS | “Machine Learning for Molecules and Materials”;https://www.youtube.com/watch?v=z-PSNT5wp_Q&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
All Machine Learning algorithms explained in 17 min;https://www.youtube.com/watch?v=E0Hmnixke2g&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
22 projets d'apprentissage automatique qui feront de vous un dieu de la science des données;https://www.youtube.com/watch?v=QlbyGPVaRSE&pp=ugMGCgJmchABugUEEgJmcsoFEG1hY2hpbmUgbGVhcm5pbmc%3D
IIT Guwahati IA ML;https://www.youtube.com/watch?v=Wnq3zFHQgmM&pp=ugMGCgJmchABugUEEgJmcsoFEG1hY2hpbmUgbGVhcm5pbmc%3D
AI Machine Learning Roadmap: Self Study AI!;https://www.youtube.com/watch?v=nznFtfgP2ks&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
Une journée dans la vie d'un Machine Learning Engineer  📊;https://www.youtube.com/watch?v=3kAuDHoaI9Q&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
11. Introduction to Machine Learning;https://www.youtube.com/watch?v=h0e2HAPTGF4&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
تعلم الذكاء الاصطناعي  (هذا ما سأفعله لو بدأت من جديد!) | Machine learning ـ;https://www.youtube.com/watch?v=6xnwq9kjilM&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D
#1 Apprendre le Deep learning avec Tensorflow - Part 1 - C'est quoi le Deep Learning ?;https://www.youtube.com/watch?v=t3B1BItaNZE&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Formation Deep Learning avec Tensorflow - Introduction - Chapitre 0 (1/160);https://www.youtube.com/watch?v=wncDzOBcaiY&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Formation Deep Learning avec Python et Tensorflow. Partie 2: Réalisation du réseau de neurone;https://www.youtube.com/watch?v=OUgLGKvA4l4&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Coder un réseau de neurones convolutifs de classification d'image avec Python et Tensorflow.;https://www.youtube.com/watch?v=6FHtTyZxS5s&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
How to Train YOLO Object Detection Models in Google Colab (YOLO11, YOLOv8, YOLOv5);https://www.youtube.com/watch?v=r0RspiLG260&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
ChatGPT vient de détruire DeepSeek (et tous les autres);https://www.youtube.com/watch?v=c-uMcNa2UXg&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Deep Learning for Computer Vision with Python and TensorFlow – Complete Course;https://www.youtube.com/watch?v=IA3WxTTPXqQ&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Détection de la langue des signes en temps réel avec détection d'objets Tensorflow et Python | SSD d'apprentissage profond;https://www.youtube.com/watch?v=pDXdlXlaCco&pp=ugMICgJmchABGAHKBR1EZWVwIExlYXJuaW5nIGF2ZWMgVGVuc29yRmxvdw%3D%3D
Formation Deep Learning avec Python et Tensorflow. Partie 1: Définir un réseau de neurone;https://www.youtube.com/watch?v=Ikjp2K6aeYA&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
Introduction à l'apprentissage automatique (Coding TensorFlow en français);https://www.youtube.com/watch?v=sdIINp0-CAA&pp=ygUdRGVlcCBMZWFybmluZyBhdmVjIFRlbnNvckZsb3c%3D
J'ai testé 600 outils de productivité, et voici les meilleurs;https://www.youtube.com/watch?v=TpMRFj5o4_w&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
Ma méthode de productivité extrême (deep work);https://www.youtube.com/watch?v=cuYPBoutKxU&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
Les meilleurs applications pour gérer ses tâches (to-do lists);https://www.youtube.com/watch?v=3IqwPJAFolo&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
7 Outils IA + No Code pour être hyperproductif !;https://www.youtube.com/watch?v=8xJl6hAaiCI&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
Découvrez les Meilleurs Outils de Productivité Digitale pour 2025 ! 🚀;https://www.youtube.com/watch?v=Zo1V2Bkj-SQ&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
Le meilleur outil pour gérer des gros projets - ClickUp;https://www.youtube.com/watch?v=ZJf6U5QADAA&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
3 Outils IA qui vont EXPLOSER votre Productivité en 2025 🚀;https://www.youtube.com/watch?v=onF63DoTMSA&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
5 Outils IA pour MAXIMISER votre PRODUCTIVITÉ 🧠;https://www.youtube.com/watch?v=YnA9NwB4IDE&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
J'ai testé 100 outils de productivité, voici ceux que j'utilise vraiment;https://www.youtube.com/watch?v=ZKPXlf32aXE&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
Mes 6 meilleurs outils de productivité en tant qu'entrepreneur !;https://www.youtube.com/watch?v=CNBcs7bRBZg&pp=ygUhTWVpbGxldXJzIG91dGlscyBkZSBwcm9kdWN0aXZpdMOp
